"Source:","C:\Users\hr193\OneDrive\Documents\Projects\hoatzin\board\hoatzin.kicad_sch"
"Date:","11/10/2022 12:02:30 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"","","C14","10nF_X7R","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21B103KBANNNC_Samsung.pdf","","","","","10000 pF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","1276-1015-1-ND","","","","C1710","Samsung","Samsung","CL21B103KBANNNC","","","",""
"","","C15","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21A105KBCLNNC_Samsung.pdf","","","","","1 µF ±10% 50V Ceramic Capacitor X5R 0805 (2012 Metric)","1276-2396-1-ND","","","","C318694","Samsung","Samsung","CL21A105KBCLNNC","","","",""
"","","C16","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
"","","D1","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.snapeda.com/parts/1N4148W/SMC%20Diode%20Solutions/datasheet/","","","","","Diode Standard 75 V 250mA (DC) Surface Mount SOD-123","","","2675147","","C176288","SMC Diode Solutions","SMC Diode Solutions","1N4148W","","","",""
"","","D2","BAT60AE6327HTSA1","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/bat60aseries.pdf?folderId=db3a304313d846880113def5812204a1&fileId=db3a304313d846880113def70c9304a9","","","","","600μA@8V 10V Single 3A 300mV@1A SOD-323 Schottky Barrier Diodes (SBD) ROHS","BAT60AE6327HTSA1CT-ND","","","","","Infineon Technologies","Infineon Technologies","BAT60AE6327HTSA1","","","",""
"","","e1","9B-16.000MAAE-B","Device:Crystal_Small","Crystal:Crystal_HC49-U_Vertical","https://s3.amazonaws.com/snapeda/datasheet/9B-16000MAAE-B_TXC.pdf","","","","","16 MHz ±30ppm Crystal 12pF 30 Ohms HC-49/US","887-2014-ND","","","","C2636524","TXC","TXC","9B-16.000MAAE-B","","","",""
"","","FB1","HZ0805E601R-10","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric","https://media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/EMI_Filtering_and_RF_Inductors.pdf","","","","","600 Ohms @ 100 MHz 1 Power, Signal Line Ferrite Bead 0805 (2012 Metric) 500mA 300mOhm","240-2399-1-ND","","","","","Laird-Signal Integrity Products","Laird-Signal Integrity Products","HZ0805E601R-10","","","",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_5.3mm_M5_DIN965_Pad","~","","","","","","","","","","","","","","","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_5.3mm_M5_DIN965_Pad","~","","","","","","","","","","","","","","","","",""
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_5.3mm_M5_DIN965_Pad","~","","","","","","","","","","","","","","","","",""
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_5.3mm_M5_DIN965_Pad","~","","","","","","","","","","","","","","","","",""
"","","J1","2-215079-0","2022-06-13_00-55-18:2-215079-0","footprints:2-215079-0","https://www.snapeda.com/parts/2-215079-0/TE%20Connectivity/datasheet/","","","","","Board-To-Board Connector, Micro-MaTch Series, Through Hole, Receptacle, 20, 1.27 mm","A111123CT-ND","","","","","TE Connectivity","TE Connectivity","2-215079-0","","","",""
"","","J2","2-215079-0","2022-06-13_00-55-18:2-215079-0","footprints:2-215079-0","https://www.snapeda.com/parts/2-215079-0/TE%20Connectivity/datasheet/","","","","","Board-To-Board Connector, Micro-MaTch Series, Through Hole, Receptacle, 20, 1.27 mm","A111123CT-ND","","","","","TE Connectivity","TE Connectivity","2-215079-0","","","",""
"","","J3","671-0501","Connector:DIN-5_180degree","footprints:6710501","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","","","","DIN Audio / Video Connector, 5 Contacts, Jack, PCB Mount, Through Hole Right Angle","","","2989966","","","DELTRON COMPONENTS","DELTRON COMPONENTS","671-0501","","","",""
